"T","L","min_space","delta","|J - J_hat|","hausdorff","fpsle","fnsle","ci_length","coverage","time"
100,2,15,0.1,"0.044","0.917","0.270","0.183","1.425","0.972","0.248"
100,2,15,0.5,"0.052","1.015","0.308","0.201","1.482","0.972","0.250"
100,2,15,1.1,"0.065","1.145","0.371","0.224","1.680","0.972","0.249"
100,5,15,0.1,"0.110","1.465","0.222","0.336","1.102","0.988","0.436"
100,5,15,0.5,"0.111","1.472","0.224","0.337","1.106","0.988","0.437"
100,5,15,1.1,"0.114","1.487","0.228","0.338","1.125","0.988","0.436"
500,2,15,0.1,"0.048","5.847","1.726","2.569","3.292","0.940","1.556"
500,2,15,0.5,"0.043","4.194","1.347","1.723","3.445","0.940","1.562"
500,2,15,1.1,"0.058","5.101","1.782","1.878","3.843","0.940","1.556"
500,2,30,0.1,"0.036","5.543","1.477","1.811","3.426","0.941","1.547"
500,2,30,0.5,"0.031","3.896","1.160","0.994","3.588","0.941","1.548"
500,2,30,1.1,"0.050","4.908","1.652","1.161","4.089","0.941","1.548"
500,5,15,0.1,"0.143","7.392","1.023","2.166","2.182","0.949","2.773"
500,5,15,0.5,"0.145","7.281","1.070","2.064","2.253","0.949","2.777"
500,5,15,1.1,"0.160","8.019","1.254","2.097","2.463","0.949","2.773"
500,5,30,0.1,"0.081","6.122","0.821","1.256","2.324","0.943","2.596"
500,5,30,0.5,"0.087","6.261","0.886","1.203","2.387","0.943","2.597"
500,5,30,1.1,"0.099","6.782","1.007","1.236","2.529","0.943","2.597"
500,10,15,0.1,"0.637","14.946","1.183","2.856","1.646","0.962","5.595"
500,10,15,0.5,"0.638","15.118","1.225","2.839","1.681","0.962","5.588"
500,10,15,1.1,"0.639","15.385","1.263","2.845","1.736","0.962","5.593"
500,10,30,0.1,"0.294","10.788","0.851","1.477","1.669","0.955","5.283"
500,10,30,0.5,"0.296","10.875","0.868","1.468","1.697","0.955","5.287"
500,10,30,1.1,"0.304","10.993","0.888","1.472","1.750","0.955","5.286"
1000,2,30,0.1,"0.093","24.914","7.028","11.020","4.653","0.933","2.667"
1000,2,30,0.5,"0.042"," 8.421","2.826"," 3.106","5.229","0.933","2.668"
1000,2,30,1.1,"0.064"," 9.591","3.768"," 2.968","6.194","0.933","2.667"
1000,2,50,0.1,"0.090","26.596","7.366","11.168","4.871","0.924","2.675"
1000,2,50,0.5,"0.036"," 8.061","2.730"," 2.577","5.565","0.924","2.680"
1000,2,50,1.1,"0.057"," 9.762","3.731"," 2.658","6.372","0.924","2.676"
1000,5,30,0.1,"0.145","16.646","2.307","4.384","3.352","0.939","5.166"
1000,5,30,0.5,"0.133","12.730","2.045","3.331","3.529","0.939","5.172"
1000,5,30,1.1,"0.155","14.595","2.576","3.460","3.912","0.939","5.166"
1000,5,50,0.1,"0.103","14.807","2.114","3.276","3.527","0.933","4.845"
1000,5,50,0.5,"0.094","10.987","1.850","2.263","3.683","0.933","4.844"
1000,5,50,1.1,"0.119","12.905","2.357","2.412","4.050","0.933","4.845"
1000,10,30,0.1,"0.416","21.802","1.758","3.689","2.454","0.942","11.422"
1000,10,30,0.5,"0.411","21.607","1.831","3.539","2.539","0.942","11.420"
1000,10,30,1.1,"0.424","22.692","1.999","3.582","2.736","0.942","11.421"
1000,10,50,0.1,"0.244","17.352","1.466","2.315","2.592","0.936","11.369"
1000,10,50,0.5,"0.252","17.505","1.552","2.251","2.665","0.936","11.365"
1000,10,50,1.1,"0.276","18.346","1.689","2.276","2.857","0.936","11.366"
