"T","L","min_space","prior","|J - J_hat|","hausdorff","fpsle","fnsle","ci_length","coverage","time"
100,2,15,"0.000","0.057","1.233","0.357","0.328","1.477","0.973","0.253"
100,2,15,"0.001","0.052","1.015","0.308","0.201","1.482","0.972","0.250"
100,2,15,"0.100","0.051","0.964","0.301","0.172","1.484","0.970","0.314"
100,5,15,"0.000","0.265","3.469","0.529","0.905","1.113","0.988","0.434"
100,5,15,"0.001","0.111","1.472","0.224","0.337","1.106","0.988","0.437"
100,5,15,"0.100","0.069","1.267","0.177","0.178","1.200","0.987","0.682"
500,2,15,"0.000","0.058","5.332","1.723","2.908","3.426","0.942","1.605"
500,2,15,"0.001","0.043","4.194","1.347","1.723","3.445","0.940","1.562"
500,2,15,"0.100","0.041","3.885","1.293","1.202","3.465","0.940","1.934"
500,2,30,"0.000","0.039","4.960","1.480","1.749","3.585","0.940","1.622"
500,2,30,"0.001","0.031","3.896","1.160","0.994","3.588","0.941","1.548"
500,2,30,"0.100","0.034","3.627","1.161","0.755","3.599","0.940","1.883"
500,5,15,"0.000","0.236","10.565","1.484","3.527","2.242","0.949","2.829"
500,5,15,"0.001","0.145"," 7.281","1.070","2.064","2.253","0.949","2.777"
500,5,15,"0.100","0.122"," 5.993","1.024","1.363","2.323","0.950","4.922"
500,5,30,"0.000","0.161","9.829","1.380","2.523","2.368","0.943","2.678"
500,5,30,"0.001","0.087","6.261","0.886","1.203","2.387","0.943","2.597"
500,5,30,"0.100","0.082","5.056","0.878","0.771","2.436","0.943","4.806"
500,10,15,"0.000","0.979","21.372","1.853","4.699","1.670","0.962"," 5.839"
500,10,15,"0.001","0.638","15.118","1.225","2.839","1.681","0.962"," 5.588"
500,10,15,"0.100","0.452","12.335","1.103","1.955","1.784","0.962","12.029"
500,10,30,"0.000","0.557","17.452","1.486","3.007","1.671","0.955"," 5.390"
500,10,30,"0.001","0.296","10.875","0.868","1.468","1.697","0.955"," 5.287"
500,10,30,"0.100","0.230"," 8.156","0.792","0.899","1.779","0.954","11.692"
1000,2,30,"0.000","0.058","11.358","3.687","5.428","5.202","0.933","2.773"
1000,2,30,"0.001","0.042"," 8.421","2.826","3.106","5.229","0.933","2.668"
1000,2,30,"0.100","0.038"," 7.049","2.275","1.950","5.208","0.933","3.113"
1000,2,50,"0.000","0.049","11.034","3.520","4.718","5.516","0.923","2.812"
1000,2,50,"0.001","0.036"," 8.061","2.730","2.577","5.565","0.924","2.680"
1000,2,50,"0.100","0.040"," 7.346","2.578","1.875","5.578","0.925","3.026"
1000,5,30,"0.000","0.213","19.667","2.894","6.339","3.501","0.938","5.751"
1000,5,30,"0.001","0.133","12.730","2.045","3.331","3.529","0.939","5.172"
1000,5,30,"0.100","0.111","10.119","2.031","2.132","3.579","0.939","8.205"
1000,5,50,"0.000","0.151","16.987","2.523","4.347","3.654","0.933","5.496"
1000,5,50,"0.001","0.094","10.987","1.850","2.263","3.683","0.933","4.844"
1000,5,50,"0.100","0.095"," 9.072","1.819","1.495","3.741","0.935","7.562"
1000,10,30,"0.000","0.630","31.001","2.592","5.969","2.500","0.943","13.930"
1000,10,30,"0.001","0.411","21.607","1.831","3.539","2.539","0.942","11.420"
1000,10,30,"0.100","0.319","15.432","1.672","2.183","2.631","0.943","21.954"
1000,10,50,"0.000","0.416","26.435","2.222","4.142","2.631","0.936","13.491"
1000,10,50,"0.001","0.252","17.505","1.552","2.251","2.665","0.936","11.365"
1000,10,50,"0.100","0.240","12.327","1.478","1.323","2.763","0.938","20.687"
