"T","L","method","bias","hausdorff","fpsle","fnsle","ci_length","coverage","time"
100,2,"Auto-MICH","\textsuperscript{}0.097","\textsuperscript{\ddag}1.916","\textsuperscript{}0.689","\textsuperscript{\ddag}0.511","1.623","0.942","0.722"
100,2,"Ora-MICH","\textsuperscript{*}0.001","\textsuperscript{*}1.006","\textsuperscript{*}0.209","\textsuperscript{*}0.232","1.440","0.944","0.017"
100,2,"H-SMUCE (0.1)","\textsuperscript{}0.205","\textsuperscript{}4.808","\textsuperscript{}1.204","\textsuperscript{}2.193","22.355","0.966","0.182"
100,2,"H-SMUCE (0.5)","\textsuperscript{\dag\ddag}0.066","\textsuperscript{}2.054","\textsuperscript{\dag\ddag}0.517","\textsuperscript{}0.620","15.994","0.989","0.060"
100,2,"MOSUM BUM","\textsuperscript{}0.143","\textsuperscript{}4.358","\textsuperscript{}1.287","\textsuperscript{}0.861","8.306","0.916","0.019"
100,2,"MOSUM LP","\textsuperscript{}0.191","\textsuperscript{}2.971","\textsuperscript{}1.148","\textsuperscript{}0.703","6.851","0.977","0.017"
100,2,"PELT","\textsuperscript{}0.189","\textsuperscript{\dag}1.756","\textsuperscript{}0.916","\textsuperscript{\dag}0.332","","","0.004"
100,2,"NOT","\textsuperscript{}0.274","\textsuperscript{}3.187","\textsuperscript{}1.341","\textsuperscript{}0.633","","","0.050"
100,2,"NSP","\textsuperscript{}0.664","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","38.522","1.000","3.752"
100,5,"Auto-MICH","\textsuperscript{\ddag}0.229","\textsuperscript{\ddag}3.551","\textsuperscript{\ddag}0.459","\textsuperscript{\ddag}0.673","1.164","0.971","1.193"
100,5,"Ora-MICH","\textsuperscript{*}0.037","\textsuperscript{*}2.534","\textsuperscript{*}0.292","\textsuperscript{}0.373","1.196","0.970","0.138"
100,5,"H-SMUCE (0.1)","\textsuperscript{}1.571","\textsuperscript{}17.184","\textsuperscript{}3.227","\textsuperscript{}5.196","14.072","0.775","0.022"
100,5,"H-SMUCE (0.5)","\textsuperscript{}0.561","\textsuperscript{}8.339","\textsuperscript{}1.071","\textsuperscript{}1.807","12.225","0.933","0.059"
100,5,"MOSUM BUM","\textsuperscript{}1.116","\textsuperscript{}15.081","\textsuperscript{}2.343","\textsuperscript{}3.555","21.766","0.995","0.021"
100,5,"MOSUM LP","\textsuperscript{}0.400","\textsuperscript{}4.947","\textsuperscript{}0.751","\textsuperscript{}0.804","13.077","0.998","0.024"
100,5,"PELT","\textsuperscript{}0.312","\textsuperscript{}2.826","\textsuperscript{}0.497","\textsuperscript{}0.393","","","0.003"
100,5,"NOT","\textsuperscript{\dag}0.164","\textsuperscript{\dag}2.568","\textsuperscript{\dag}0.320","\textsuperscript{*\dag}0.356","","","0.049"
100,5,"NSP","\textsuperscript{}3.351","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","35.426","1.000","3.794"
500,2,"Auto-MICH","\textsuperscript{\ddag}0.109","\textsuperscript{\ddag}7.427","\textsuperscript{\ddag}3.053","\textsuperscript{\ddag}2.249","3.889","0.922","5.737"
500,2,"Ora-MICH","\textsuperscript{*}0.004","\textsuperscript{*}4.346","\textsuperscript{*}1.060","\textsuperscript{}1.300","3.565","0.925","0.120"
500,2,"H-SMUCE (0.1)","\textsuperscript{}0.126","\textsuperscript{}12.461","\textsuperscript{}3.169","\textsuperscript{}6.352","54.024","0.996","0.034"
500,2,"H-SMUCE (0.5)","\textsuperscript{}0.130","\textsuperscript{}13.503","\textsuperscript{}4.409","\textsuperscript{}4.116","38.126","0.994","0.067"
500,2,"MOSUM BUM","\textsuperscript{}0.663","\textsuperscript{}33.526","\textsuperscript{}16.477","\textsuperscript{}6.830","28.573","0.964","0.033"
500,2,"MOSUM LP","\textsuperscript{}0.514","\textsuperscript{}25.460","\textsuperscript{}12.408","\textsuperscript{}7.334","18.493","0.984","0.034"
500,2,"PELT","\textsuperscript{\dag}0.096","\textsuperscript{\dag}5.982","\textsuperscript{\dag}2.773","\textsuperscript{*\dag}1.281","","","0.009"
500,2,"NOT","\textsuperscript{}0.302","\textsuperscript{}15.272","\textsuperscript{}7.752","\textsuperscript{}3.063","","","0.141"
500,2,"NSP","\textsuperscript{}0.190","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","93.633","1.000","10.663"
500,5,"Auto-MICH","\textsuperscript{}0.231","\textsuperscript{\ddag}12.443","\textsuperscript{}2.037","\textsuperscript{\ddag}2.296","2.412","0.930","10.229"
500,5,"Ora-MICH","\textsuperscript{*}0.044","\textsuperscript{}11.116","\textsuperscript{}1.529","\textsuperscript{}2.030","2.326","0.930","1.059"
500,5,"H-SMUCE (0.1)","\textsuperscript{}0.324","\textsuperscript{}18.355","\textsuperscript{}2.104","\textsuperscript{}4.466","36.545","0.983","0.034"
500,5,"H-SMUCE (0.5)","\textsuperscript{\ddag}0.201","\textsuperscript{}14.193","\textsuperscript{\ddag}1.714","\textsuperscript{}2.815","26.010","0.994","0.068"
500,5,"MOSUM BUM","\textsuperscript{}0.547","\textsuperscript{}22.860","\textsuperscript{}5.275","\textsuperscript{}3.137","25.162","0.974","0.057"
500,5,"MOSUM LP","\textsuperscript{}0.676","\textsuperscript{}30.030","\textsuperscript{}5.881","\textsuperscript{}6.026","16.151","0.994","0.045"
500,5,"PELT","\textsuperscript{\dag}0.156","\textsuperscript{*\dag}8.100","\textsuperscript{*\dag}1.444","\textsuperscript{*\dag}1.277","","","0.009"
500,5,"NOT","\textsuperscript{}0.254","\textsuperscript{}11.369","\textsuperscript{}2.331","\textsuperscript{}1.544","","","0.145"
500,5,"NSP","\textsuperscript{}1.479","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","71.943","1.000","13.989"
1000,2,"Auto-MICH","\textsuperscript{}0.138","\textsuperscript{\ddag}15.618","\textsuperscript{}7.330","\textsuperscript{\ddag}5.498","5.711","0.907","11.056"
1000,2,"Ora-MICH","\textsuperscript{*}0.012","\textsuperscript{*}9.327","\textsuperscript{*}2.448","\textsuperscript{}3.538","5.361","0.910","0.300"
1000,2,"H-SMUCE (0.1)","\textsuperscript{}0.129","\textsuperscript{}24.483","\textsuperscript{\ddag}6.374","\textsuperscript{}12.819","89.159","0.998","0.044"
1000,2,"H-SMUCE (0.5)","\textsuperscript{}0.139","\textsuperscript{}27.311","\textsuperscript{}9.192","\textsuperscript{}8.781","64.094","0.997","0.076"
1000,2,"MOSUM BUM","\textsuperscript{}0.313","\textsuperscript{}44.261","\textsuperscript{}18.231","\textsuperscript{}12.493","43.684","0.978","0.061"
1000,2,"MOSUM LP","\textsuperscript{}0.742","\textsuperscript{}64.184","\textsuperscript{}34.084","\textsuperscript{}19.776","26.329","0.979","0.054"
1000,2,"PELT","\textsuperscript{\dag}0.087","\textsuperscript{\dag}11.203","\textsuperscript{\dag}5.275","\textsuperscript{*\dag}2.599","","","0.016"
1000,2,"NOT","\textsuperscript{}0.308","\textsuperscript{}28.575","\textsuperscript{}15.584","\textsuperscript{}5.883","","","0.248"
1000,2,"NSP","\textsuperscript{\ddag}0.128","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","144.308","1.000","16.852"
1000,5,"Auto-MICH","\textsuperscript{}0.272","\textsuperscript{\ddag}23.641","\textsuperscript{}4.491","\textsuperscript{\ddag}4.538","3.751","0.921","20.625"
1000,5,"Ora-MICH","\textsuperscript{*}0.058","\textsuperscript{}21.102","\textsuperscript{}3.031","\textsuperscript{}4.401","3.562","0.923","2.376"
1000,5,"H-SMUCE (0.1)","\textsuperscript{}0.244","\textsuperscript{}29.937","\textsuperscript{\ddag}3.327","\textsuperscript{}7.040","56.356","0.995","0.044"
1000,5,"H-SMUCE (0.5)","\textsuperscript{\ddag}0.203","\textsuperscript{}27.532","\textsuperscript{}3.484","\textsuperscript{}5.558","39.431","0.997","0.077"
1000,5,"MOSUM BUM","\textsuperscript{}0.291","\textsuperscript{}34.249","\textsuperscript{}6.233","\textsuperscript{}5.667","47.183","0.983","0.123"
1000,5,"MOSUM LP","\textsuperscript{}0.871","\textsuperscript{}68.413","\textsuperscript{}14.869","\textsuperscript{}14.461","22.882","0.989","0.069"
1000,5,"PELT","\textsuperscript{\dag}0.141","\textsuperscript{*\dag}14.238","\textsuperscript{*\dag}2.747","\textsuperscript{*\dag}2.263","","","0.016"
1000,5,"NOT","\textsuperscript{}0.288","\textsuperscript{}21.117","\textsuperscript{}5.135","\textsuperscript{}2.853","","","0.253"
1000,5,"NSP","\textsuperscript{}0.883","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","106.239","1.000","21.744"
1000,10,"Auto-MICH","\textsuperscript{}0.405","\textsuperscript{}23.629","\textsuperscript{}2.403","\textsuperscript{}2.633","2.632","0.928","39.192"
1000,10,"Ora-MICH","\textsuperscript{*}0.108","\textsuperscript{}29.129","\textsuperscript{}2.442","\textsuperscript{}3.220","2.604","0.929","10.139"
1000,10,"H-SMUCE (0.1)","\textsuperscript{}0.321","\textsuperscript{}24.737","\textsuperscript{}1.660","\textsuperscript{}2.997","44.138","0.984","0.047"
1000,10,"H-SMUCE (0.5)","\textsuperscript{\dag\ddag}0.113","\textsuperscript{\ddag}13.226","\textsuperscript{*\dag\ddag}0.914","\textsuperscript{\ddag}1.262","31.837","0.998","0.077"
