"T","L","method","bias","hausdorff","fpsle","fnsle","ci_length","coverage","time"
100,2,"Auto-MICH","\textsuperscript{}0.225","\textsuperscript{\ddag}3.196","\textsuperscript{\ddag}1.208","\textsuperscript{\ddag}0.693","1.891","0.951","0.577"
100,2,"Ora-MICH","\textsuperscript{*}0.001","\textsuperscript{*}1.153","\textsuperscript{*}0.230","\textsuperscript{*}0.242","1.565","0.957","0.016"
100,2,"H-SMUCE (0.1)","\textsuperscript{}0.213","\textsuperscript{}5.279","\textsuperscript{}1.334","\textsuperscript{}2.288","22.510","0.961","0.021"
100,2,"H-SMUCE (0.5)","\textsuperscript{\dag\ddag}0.162","\textsuperscript{}4.378","\textsuperscript{}1.288","\textsuperscript{}1.040","15.907","0.968","0.059"
100,2,"MOSUM BUM","\textsuperscript{}0.257","\textsuperscript{}5.893","\textsuperscript{}1.860","\textsuperscript{}1.173","9.439","0.911","0.017"
100,2,"MOSUM LP","\textsuperscript{}0.526","\textsuperscript{}6.499","\textsuperscript{}2.624","\textsuperscript{}1.434","8.598","0.977","0.016"
100,2,"PELT","\textsuperscript{}0.222","\textsuperscript{\dag}1.974","\textsuperscript{\dag}1.043","\textsuperscript{\dag}0.381","","","0.002"
100,2,"NOT","\textsuperscript{}0.291","\textsuperscript{}3.348","\textsuperscript{}1.383","\textsuperscript{}0.667","","","0.050"
100,2,"NSP","\textsuperscript{}0.643","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","37.874","1.000","3.670"
100,5,"Auto-MICH","\textsuperscript{\ddag}0.271","\textsuperscript{\ddag}3.691","\textsuperscript{\ddag}0.514","\textsuperscript{\ddag}0.676","1.202","0.984","1.025"
100,5,"Ora-MICH","\textsuperscript{*}0.036","\textsuperscript{}3.040","\textsuperscript{}0.356","\textsuperscript{}0.458","1.220","0.983","0.116"
100,5,"H-SMUCE (0.1)","\textsuperscript{}1.587","\textsuperscript{}17.246","\textsuperscript{}3.252","\textsuperscript{}5.235","14.201","0.758","0.022"
100,5,"H-SMUCE (0.5)","\textsuperscript{}0.551","\textsuperscript{}8.329","\textsuperscript{}1.062","\textsuperscript{}1.782","12.235","0.930","0.058"
100,5,"MOSUM BUM","\textsuperscript{}1.115","\textsuperscript{}15.251","\textsuperscript{}2.387","\textsuperscript{}3.580","21.404","0.992","0.021"
100,5,"MOSUM LP","\textsuperscript{}0.487","\textsuperscript{}5.287","\textsuperscript{}0.866","\textsuperscript{}0.799","13.273","0.998","0.024"
100,5,"PELT","\textsuperscript{}0.366","\textsuperscript{}2.869","\textsuperscript{}0.548","\textsuperscript{}0.394","","","0.003"
100,5,"NOT","\textsuperscript{\dag}0.180","\textsuperscript{*\dag}2.553","\textsuperscript{*\dag}0.326","\textsuperscript{*\dag}0.355","","","0.050"
100,5,"NSP","\textsuperscript{}3.346","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","35.326","1.000","3.782"
500,2,"Auto-MICH","\textsuperscript{}0.175","\textsuperscript{\ddag}10.568","\textsuperscript{\ddag}4.720","\textsuperscript{\ddag}2.894","4.263","0.894","5.104"
500,2,"Ora-MICH","\textsuperscript{*}0.003","\textsuperscript{*}5.267","\textsuperscript{*}1.168","\textsuperscript{}1.308","3.744","0.898","0.110"
500,2,"H-SMUCE (0.1)","\textsuperscript{\ddag}0.162","\textsuperscript{}19.128","\textsuperscript{}5.824","\textsuperscript{}6.638","53.501","0.992","0.033"
500,2,"H-SMUCE (0.5)","\textsuperscript{}0.627","\textsuperscript{}50.602","\textsuperscript{}20.793","\textsuperscript{}10.728","41.812","0.973","0.067"
500,2,"MOSUM BUM","\textsuperscript{}2.069","\textsuperscript{}77.827","\textsuperscript{}41.921","\textsuperscript{}19.203","37.142","0.958","0.046"
500,2,"MOSUM LP","\textsuperscript{}2.746","\textsuperscript{}78.261","\textsuperscript{}46.323","\textsuperscript{}20.750","21.965","0.954","0.045"
500,2,"PELT","\textsuperscript{\dag}0.052","\textsuperscript{\dag}5.445","\textsuperscript{\dag}1.981","\textsuperscript{*\dag}1.226","","","0.009"
500,2,"NOT","\textsuperscript{}0.127","\textsuperscript{}9.254","\textsuperscript{}3.825","\textsuperscript{}1.882","","","0.139"
500,2,"NSP","\textsuperscript{}0.181","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","92.193","1.000","10.662"
500,5,"Auto-MICH","\textsuperscript{\ddag}0.271","\textsuperscript{\ddag}14.944","\textsuperscript{\ddag}2.470","\textsuperscript{\ddag}2.656","2.631","0.918","8.829"
