"T","L","min_space","method","bias","hausdorff","fpsle","fnsle","ci_length","coverage","time"
100,2,15,"Auto-MICH","\textsuperscript{\dag\ddag}0.052","\textsuperscript{\ddag}1.015","\textsuperscript{\dag\ddag}0.308","\textsuperscript{\ddag}0.201","1.482","0.972","0.250"
100,2,15,"Ora-MICH","\textsuperscript{*}0.000","\textsuperscript{*}0.510","\textsuperscript{*}0.089","\textsuperscript{*}0.092","1.354","0.972","0.010"
100,2,15,"H-SMUCE (0.1)","\textsuperscript{}0.134","\textsuperscript{}2.981","\textsuperscript{}0.721","\textsuperscript{}1.439","23.315","0.966","0.188"
100,2,15,"H-SMUCE (0.5)","\textsuperscript{}0.059","\textsuperscript{}1.644","\textsuperscript{}0.460","\textsuperscript{}0.412","16.192","0.986","0.061"
100,2,15,"MOSUM BUM","\textsuperscript{}0.083","\textsuperscript{}2.940","\textsuperscript{}0.790","\textsuperscript{}0.617","12.043","0.956","0.018"
100,2,15,"MOSUM LP","\textsuperscript{}0.144","\textsuperscript{}2.083","\textsuperscript{}0.751","\textsuperscript{}0.402","6.532","0.988","0.016"
100,2,15,"PELT","\textsuperscript{}0.105","\textsuperscript{\dag}0.832","\textsuperscript{}0.494","\textsuperscript{\dag}0.148","","","0.004"
100,2,15,"NOT","\textsuperscript{}0.073","\textsuperscript{}1.082","\textsuperscript{}0.401","\textsuperscript{}0.195","","","0.051"
100,2,15,"NSP","\textsuperscript{}0.712","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","36.062","1.000","3.661"
100,5,15,"Auto-MICH","\textsuperscript{\ddag}0.111","\textsuperscript{\ddag}1.472","\textsuperscript{\ddag}0.224","\textsuperscript{\ddag}0.337","1.106","0.988","0.437"
100,5,15,"Ora-MICH","\textsuperscript{*}0.005","\textsuperscript{}0.798","\textsuperscript{}0.090","\textsuperscript{}0.108","1.095","0.988","0.089"
100,5,15,"H-SMUCE (0.1)","\textsuperscript{}1.643","\textsuperscript{}17.449","\textsuperscript{}3.318","\textsuperscript{}5.469","15.405","0.727","0.022"
100,5,15,"H-SMUCE (0.5)","\textsuperscript{}0.576","\textsuperscript{}8.520","\textsuperscript{}1.064","\textsuperscript{}1.879","12.792","0.901","0.061"
100,5,15,"MOSUM BUM","\textsuperscript{}0.922","\textsuperscript{}13.416","\textsuperscript{}1.881","\textsuperscript{}2.892","24.490","0.998","0.021"
100,5,15,"MOSUM LP","\textsuperscript{}0.278","\textsuperscript{}3.050","\textsuperscript{}0.484","\textsuperscript{}0.498","13.182","0.998","0.024"
100,5,15,"PELT","\textsuperscript{}0.182","\textsuperscript{}0.773","\textsuperscript{}0.236","\textsuperscript{}0.072","","","0.003"
100,5,15,"NOT","\textsuperscript{\dag}0.043","\textsuperscript{*\dag}0.589","\textsuperscript{*\dag}0.083","\textsuperscript{*\dag}0.055","","","0.050"
100,5,15,"NSP","\textsuperscript{}3.462","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","35.079","1.000","3.676"
500,2,15,"Auto-MICH","\textsuperscript{\ddag}0.043","\textsuperscript{\ddag}4.194","\textsuperscript{\ddag}1.347","\textsuperscript{\ddag}1.723","3.445","0.940","1.562"
500,2,15,"Ora-MICH","\textsuperscript{*}0.005","\textsuperscript{}2.864","\textsuperscript{*}0.626","\textsuperscript{}0.836","3.313","0.942","0.066"
500,2,15,"H-SMUCE (0.1)","\textsuperscript{}0.060","\textsuperscript{}4.916","\textsuperscript{}1.376","\textsuperscript{}2.561","53.617","0.977","0.036"
500,2,15,"H-SMUCE (0.5)","\textsuperscript{}0.163","\textsuperscript{}15.251","\textsuperscript{}6.029","\textsuperscript{}3.176","37.655","0.982","0.070"
500,2,15,"MOSUM BUM","\textsuperscript{}0.407","\textsuperscript{}25.061","\textsuperscript{}11.913","\textsuperscript{}5.050","25.435","0.976","0.031"
500,2,15,"MOSUM LP","\textsuperscript{}0.460","\textsuperscript{}21.648","\textsuperscript{}10.404","\textsuperscript{}5.067","17.821","0.987","0.033"
500,2,15,"PELT","\textsuperscript{}0.024","\textsuperscript{*\dag}2.784","\textsuperscript{}1.035","\textsuperscript{*\dag}0.522","","","0.009"
500,2,15,"NOT","\textsuperscript{\dag}0.018","\textsuperscript{}3.070","\textsuperscript{\dag}0.907","\textsuperscript{}0.579","","","0.139"
500,2,15,"NSP","\textsuperscript{}0.223","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","91.648","1.000","10.447"
500,2,30,"Auto-MICH","\textsuperscript{}0.031","\textsuperscript{\ddag}3.896","\textsuperscript{\ddag}1.160","\textsuperscript{\ddag}0.994","3.588","0.941","1.548"
500,2,30,"Ora-MICH","\textsuperscript{*}0.001","\textsuperscript{*}2.930","\textsuperscript{*}0.579","\textsuperscript{}0.614","3.466","0.942","0.061"
500,2,30,"H-SMUCE (0.1)","\textsuperscript{\ddag}0.024","\textsuperscript{}4.596","\textsuperscript{}1.198","\textsuperscript{}1.167","54.803","0.996","0.037"
500,2,30,"H-SMUCE (0.5)","\textsuperscript{}0.170","\textsuperscript{}16.009","\textsuperscript{}6.249","\textsuperscript{}2.829","37.796","0.991","0.070"
500,2,30,"MOSUM BUM","\textsuperscript{}0.411","\textsuperscript{}24.442","\textsuperscript{}11.231","\textsuperscript{}4.716","24.985","0.980","0.031"
500,2,30,"MOSUM LP","\textsuperscript{}0.451","\textsuperscript{}21.891","\textsuperscript{}10.071","\textsuperscript{}5.140","18.404","0.987","0.033"
500,2,30,"PELT","\textsuperscript{}0.022","\textsuperscript{\dag}2.974","\textsuperscript{}1.004","\textsuperscript{*\dag}0.562","","","0.009"
500,2,30,"NOT","\textsuperscript{\dag}0.016","\textsuperscript{}3.166","\textsuperscript{\dag}0.908","\textsuperscript{}0.595","","","0.139"
500,2,30,"NSP","\textsuperscript{}0.141","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","92.570","1.000","10.679"
500,5,15,"Auto-MICH","\textsuperscript{\ddag}0.145","\textsuperscript{\ddag}7.281","\textsuperscript{\ddag}1.070","\textsuperscript{}2.064","2.253","0.949","2.777"
500,5,15,"Ora-MICH","\textsuperscript{}0.040","\textsuperscript{}4.999","\textsuperscript{}0.648","\textsuperscript{}1.039","2.197","0.950","0.541"
