"T","L","min_space","delta","|J - J_hat|","hausdorff","fpsle","fnsle","ci_length","coverage","time"
100,2,15,0.1,"0.000","0.510","0.089","0.092","1.354","0.972","0.010"
100,2,15,0.5,"0.000","0.510","0.089","0.092","1.354","0.972","0.010"
100,2,15,1.1,"0.000","0.512","0.090","0.093","1.359","0.972","0.010"
100,5,15,0.1,"0.006","0.796","0.089","0.108","1.094","0.988","0.089"
100,5,15,0.5,"0.005","0.798","0.090","0.108","1.095","0.988","0.089"
100,5,15,1.1,"0.005","0.800","0.090","0.108","1.099","0.988","0.089"
500,2,15,0.1,"0.014","4.434","1.084","1.571","3.240","0.942","0.066"
500,2,15,0.5,"0.005","2.864","0.626","0.836","3.313","0.942","0.066"
500,2,15,1.1,"0.002","2.873","0.608","0.746","3.367","0.942","0.066"
500,2,30,0.1,"0.013","4.633","1.008","1.424","3.377","0.941","0.061"
500,2,30,0.5,"0.001","2.930","0.579","0.614","3.466","0.942","0.061"
500,2,30,1.1,"0.000","2.991","0.615","0.607","3.484","0.942","0.061"
500,5,15,0.1,"0.052","5.277","0.657","1.179","2.156","0.950","0.541"
500,5,15,0.5,"0.040","4.999","0.648","1.039","2.197","0.950","0.541"
500,5,15,1.1,"0.030","5.393","0.755","1.048","2.295","0.950","0.541"
500,5,30,0.1,"0.029","5.229","0.630","0.907","2.292","0.945","0.488"
500,5,30,0.5,"0.021","5.132","0.638","0.836","2.320","0.945","0.488"
500,5,30,1.1,"0.017","5.334","0.680","0.847","2.360","0.945","0.488"
500,10,15,0.1,"0.226"," 9.988","0.749","1.300","1.648","0.963","2.386"
500,10,15,0.5,"0.197","10.309","0.811","1.265","1.707","0.963","2.383"
500,10,15,1.1,"0.174","10.823","0.897","1.269","1.814","0.963","2.385"
500,10,30,0.1,"0.094","8.230","0.594","0.841","1.661","0.956","2.024"
500,10,30,0.5,"0.079","8.373","0.620","0.839","1.687","0.956","2.025"
500,10,30,1.1,"0.071","8.524","0.641","0.847","1.726","0.956","2.024"
1000,2,30,0.1,"0.061","22.091","5.559","9.074","4.620","0.934","0.146"
1000,2,30,0.5,"0.004"," 5.933","1.258","1.512","5.097","0.934","0.146"
1000,2,30,1.1,"0.001"," 4.967","1.031","1.112","5.169","0.934","0.146"
1000,2,50,0.1,"0.069","24.465","6.145","9.911","4.830","0.924","0.145"
1000,2,50,0.5,"0.003"," 5.754","1.221","1.394","5.385","0.925","0.145"
1000,2,50,1.1,"0.001"," 5.248","1.039","1.100","5.442","0.925","0.145"
1000,5,30,0.1,"0.091","14.629","1.806","3.643","3.316","0.940","1.183"
1000,5,30,0.5,"0.059","10.500","1.417","2.516","3.432","0.940","1.184"
1000,5,30,1.1,"0.046","10.730","1.554","2.384","3.594","0.940","1.183"
1000,5,50,0.1,"0.066","13.631","1.668","2.861","3.508","0.935","1.093"
1000,5,50,0.5,"0.039","10.076","1.314","1.956","3.603","0.935","1.092"
1000,5,50,1.1,"0.029","10.675","1.497","1.990","3.731","0.935","1.092"
1000,10,30,0.1,"0.235","18.436","1.392","2.594","2.438","0.943","4.794"
1000,10,30,0.5,"0.194","18.071","1.457","2.410","2.525","0.943","4.796"
1000,10,30,1.1,"0.158","19.411","1.674","2.442","2.738","0.943","4.793"
1000,10,50,0.1,"0.143","16.207","1.207","1.897","2.575","0.937","4.440"
1000,10,50,0.5,"0.110","16.280","1.268","1.795","2.643","0.937","4.442"
1000,10,50,1.1,"0.089","16.903","1.367","1.813","2.772","0.937","4.439"
