"T","L","min_space","tol","|J - J_hat|","hausdorff","fpsle","fnsle","ci_length","coverage","time"
100,2,15,1e-10,"0.000","0.510","0.089","0.092","1.354","0.973","0.021"
100,2,15,1e-07,"0.000","0.510","0.089","0.092","1.354","0.972","0.010"
100,2,15,1e-05,"0.002","0.701","0.133","0.146","1.491","0.969","0.007"
100,2,15,0.001,"0.001","0.595","0.111","0.124","1.370","0.972","0.004"
100,5,15,1e-10,"0.005","0.875","0.102","0.124","1.095","0.988","0.298"
100,5,15,1e-07,"0.005","0.798","0.090","0.108","1.095","0.988","0.089"
100,5,15,1e-05,"0.058","2.129","0.231","0.322","1.167","0.987","0.029"
100,5,15,0.001,"0.031","1.317","0.144","0.195","1.120","0.988","0.010"
500,2,15,1e-10,"0.005","2.872","0.623","0.796","3.314","0.942","0.209"
500,2,15,1e-07,"0.005","2.864","0.626","0.836","3.313","0.942","0.066"
500,2,15,1e-05,"0.032","5.308","1.505","2.680","3.262","0.941","0.024"
500,2,15,0.001,"0.022","3.860","1.020","2.018","3.468","0.941","0.008"
500,2,30,1e-10,"0.001","2.904","0.573","0.600","3.463","0.942","0.191"
500,2,30,1e-07,"0.001","2.930","0.579","0.614","3.466","0.942","0.061"
500,2,30,1e-05,"0.020","4.719","1.094","1.856","3.399","0.936","0.021"
500,2,30,0.001,"0.010","3.658","0.807","1.321","3.564","0.941","0.008"
500,5,15,1e-10,"0.028","4.716","0.620","0.925","2.193","0.950","2.786"
500,5,15,1e-07,"0.040","4.999","0.648","1.039","2.197","0.950","0.541"
500,5,15,1e-05,"0.129","8.945","1.117","2.377","2.171","0.954","0.136"
500,5,15,0.001,"0.159","9.245","1.299","2.684","2.526","0.952","0.029"
500,5,30,1e-10,"0.014","4.749","0.598","0.729","2.312","0.945","2.345"
500,5,30,1e-07,"0.021","5.132","0.638","0.836","2.320","0.945","0.488"
500,5,30,1e-05,"0.094","8.843","1.056","1.842","2.273","0.947","0.118"
500,5,30,0.001,"0.096","8.501","1.076","1.853","2.505","0.945","0.029"
500,10,15,1e-10,"0.151"," 9.131","0.730","1.092","1.673","0.963","12.738"
500,10,15,1e-07,"0.197","10.309","0.811","1.265","1.707","0.963"," 2.383"
500,10,15,1e-05,"0.334","12.067","0.870","1.683","1.642","0.963"," 0.539"
500,10,15,0.001,"0.631","18.670","1.459","3.048","2.026","0.963"," 0.096"
500,10,30,1e-10,"0.053"," 7.419","0.557","0.724","1.671","0.956","11.077"
500,10,30,1e-07,"0.079"," 8.373","0.620","0.839","1.687","0.956"," 2.025"
500,10,30,1e-05,"0.188","11.515","0.779","1.221","1.665","0.958"," 0.479"
500,10,30,0.001,"0.412","19.159","1.336","2.316","1.910","0.956"," 0.096"
1000,2,30,1e-10,"0.004"," 6.030","1.265","1.501","5.092","0.934","0.606"
1000,2,30,1e-07,"0.004"," 5.933","1.258","1.512","5.097","0.934","0.146"
1000,2,30,1e-05,"0.069","18.706","5.278","9.711","4.688","0.933","0.044"
1000,2,30,0.001,"0.030"," 8.792","2.352","4.739","5.389","0.936","0.013"
1000,2,50,1e-10,"0.004"," 5.867","1.251","1.467","5.386","0.925","0.635"
1000,2,50,1e-07,"0.003"," 5.754","1.221","1.394","5.385","0.925","0.145"
1000,2,50,1e-05,"0.058","17.304","4.788","8.373","4.794","0.936","0.041"
1000,2,50,0.001,"0.017"," 8.137","2.142","3.332","5.652","0.926","0.013"
1000,5,30,1e-10,"0.034"," 8.706","1.140","1.820","3.413","0.941","6.506"
1000,5,30,1e-07,"0.059","10.500","1.417","2.516","3.432","0.940","1.184"
1000,5,30,1e-05,"0.166","19.672","2.453","5.542","3.207","0.944","0.242"
1000,5,30,0.001,"0.216","21.359","2.999","6.910","3.940","0.941","0.050"
1000,5,50,1e-10,"0.023"," 9.010","1.185","1.627","3.598","0.935","5.499"
1000,5,50,1e-07,"0.039","10.076","1.314","1.956","3.603","0.935","1.092"
1000,5,50,1e-05,"0.134","20.090","2.469","4.803","3.381","0.940","0.224"
1000,5,50,0.001,"0.154","20.168","2.690","5.233","3.970","0.936","0.050"
1000,10,30,1e-10,"0.127","14.369","1.140","1.797","2.467","0.943","27.027"
1000,10,30,1e-07,"0.194","18.071","1.457","2.410","2.525","0.943"," 4.796"
1000,10,30,1e-05,"0.343","23.980","1.736","3.540","2.399","0.946"," 0.965"
1000,10,30,0.001,"0.661","38.122","2.992","6.499","3.001","0.944"," 0.170"
1000,10,50,1e-10,"0.057","12.157","0.974","1.269","2.601","0.937","23.742"
1000,10,50,1e-07,"0.110","16.280","1.268","1.795","2.643","0.937"," 4.442"
1000,10,50,1e-05,"0.245","23.454","1.669","2.851","2.532","0.942"," 0.873"
1000,10,50,0.001,"0.470","37.722","2.766","5.118","3.010","0.939"," 0.172"
