"T","L","method","bias","hausdorff","fpsle","fnsle","ci_length","coverage","time"
100,2,"Auto-MICH","\textsuperscript{}0.128","\textsuperscript{\dag\ddag}2.056","\textsuperscript{}0.814","\textsuperscript{\ddag}0.546","1.578","0.950","0.768"
100,2,"Ora-MICH","\textsuperscript{*}0.001","\textsuperscript{*}1.106","\textsuperscript{*}0.233","\textsuperscript{*}0.256","1.435","0.950","0.017"
100,2,"H-SMUCE (0.1)","\textsuperscript{}0.194","\textsuperscript{}4.615","\textsuperscript{}1.154","\textsuperscript{}2.064","22.139","0.967","0.021"
100,2,"H-SMUCE (0.5)","\textsuperscript{\dag\ddag}0.068","\textsuperscript{}2.075","\textsuperscript{\dag\ddag}0.545","\textsuperscript{}0.589","15.799","0.988","0.059"
100,2,"MOSUM BUM","\textsuperscript{}0.145","\textsuperscript{}4.298","\textsuperscript{}1.271","\textsuperscript{}0.845","8.095","0.912","0.017"
100,2,"MOSUM LP","\textsuperscript{}0.202","\textsuperscript{}2.998","\textsuperscript{}1.161","\textsuperscript{}0.667","6.735","0.980","0.016"
100,2,"PELT","\textsuperscript{}0.251","\textsuperscript{}2.125","\textsuperscript{}1.172","\textsuperscript{\dag}0.394","","","0.002"
100,2,"NOT","\textsuperscript{}0.348","\textsuperscript{}3.711","\textsuperscript{}1.651","\textsuperscript{}0.728","","","0.050"
100,2,"NSP","\textsuperscript{}0.639","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","38.189","1.000","3.673"
100,5,"Auto-MICH","\textsuperscript{\ddag}0.240","\textsuperscript{\ddag}3.541","\textsuperscript{\ddag}0.496","\textsuperscript{\ddag}0.707","1.153","0.972","1.273"
100,5,"Ora-MICH","\textsuperscript{*}0.031","\textsuperscript{*}2.425","\textsuperscript{*}0.281","\textsuperscript{}0.354","1.191","0.971","0.137"
100,5,"H-SMUCE (0.1)","\textsuperscript{}1.560","\textsuperscript{}17.128","\textsuperscript{}3.191","\textsuperscript{}5.173","14.028","0.767","0.023"
100,5,"H-SMUCE (0.5)","\textsuperscript{}0.542","\textsuperscript{}8.188","\textsuperscript{}1.023","\textsuperscript{}1.739","12.144","0.936","0.059"
100,5,"MOSUM BUM","\textsuperscript{}1.109","\textsuperscript{}14.953","\textsuperscript{}2.347","\textsuperscript{}3.530","21.713","0.993","0.021"
100,5,"MOSUM LP","\textsuperscript{}0.389","\textsuperscript{}4.861","\textsuperscript{}0.744","\textsuperscript{}0.793","12.939","0.997","0.024"
100,5,"PELT","\textsuperscript{}0.318","\textsuperscript{}2.795","\textsuperscript{}0.508","\textsuperscript{}0.391","","","0.003"
100,5,"NOT","\textsuperscript{\dag}0.162","\textsuperscript{\dag}2.508","\textsuperscript{\dag}0.315","\textsuperscript{*\dag}0.349","","","0.050"
100,5,"NSP","\textsuperscript{}3.344","\textsuperscript{}","\textsuperscript{}","\textsuperscript{}","35.476","1.000","3.805"
